iter	Passed	Remaining
958	4769	203
959	4772	198
960	4776	193
961	4779	188
962	4782	183
963	4785	178
964	4788	173
965	4792	168
966	4795	163
967	4798	158
968	4802	153
969	4809	148
970	4815	143
971	4818	138
972	4822	133
973	4826	128
974	4829	123
975	4833	118
976	4836	113
977	4840	108
978	4844	103
979	4853	99
980	4856	94
981	4860	89
982	4864	84
983	4867	79
984	4872	74
985	4882	69
986	4887	64
987	4890	59
988	4894	54
989	4896	49
990	4900	44
991	4907	39
992	4910	34
993	4914	29
994	4917	24
995	4920	19
996	4924	14
997	4927	9
998	4931	4
999	4936	0
